File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF555FSE	bigWig	bigWig		signal p-value	mm10	ENCSR000CBO	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0005343	cortical plate	tissue	Mus musculus										CTCF-mouse	DNA						2011-07-22	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF398CKS/, /files/ENCFF956HLS/, /files/ENCFF161JIA/, /files/ENCFF884QOA/	281253106	ENCODE Processing Pipeline	058b5c24c0585f69eaada69bbffdb37e		https://www.encodeproject.org/files/ENCFF555FSE/@@download/ENCFF555FSE.bigWig				released	s3://encode-public/2020/10/14/9f147760-3c04-4ed2-b345-29ff29ba6fcf/ENCFF555FSE.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/10/14/9f147760-3c04-4ed2-b345-29ff29ba6fcf/ENCFF555FSE.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	mild to moderate bottlenecking, low read length, control low read depth	insufficient read depth	extremely low read depth
ENCFF575MGI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CBO	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0005343	cortical plate	tissue	Mus musculus										CTCF-mouse	DNA						2011-07-22	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF884QOA/, /files/ENCFF398CKS/, /files/ENCFF547MET/, /files/ENCFF956HLS/, /files/ENCFF161JIA/	524006	ENCODE Processing Pipeline	09c944eb3b7084b39a88dcb85447d24e		https://www.encodeproject.org/files/ENCFF575MGI/@@download/ENCFF575MGI.bed.gz				released	s3://encode-public/2020/10/14/2c8e3d0b-c370-43b7-b913-3f4109e273fe/ENCFF575MGI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/14/2c8e3d0b-c370-43b7-b913-3f4109e273fe/ENCFF575MGI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	mild to moderate bottlenecking, low read length, control low read depth	insufficient read depth	extremely low read depth
ENCFF866DMM	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CBO	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0005343	cortical plate	tissue	Mus musculus										CTCF-mouse	DNA						2011-07-22	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF575MGI/	1008208	ENCODE Processing Pipeline	9d434a909cab6236f36822fc6ed2a21b		https://www.encodeproject.org/files/ENCFF866DMM/@@download/ENCFF866DMM.bigBed				released	s3://encode-public/2020/10/14/35d6d295-4e86-4f36-875d-7886aa921d8b/ENCFF866DMM.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/10/14/35d6d295-4e86-4f36-875d-7886aa921d8b/ENCFF866DMM.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	mild to moderate bottlenecking, low read length, control low read depth	insufficient read depth	extremely low read depth
ENCFF951GOP	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CBI	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000948	heart	tissue	Mus musculus										CTCF-mouse	DNA						2011-07-22	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF925TYC/, /files/ENCFF026TPH/, /files/ENCFF547MET/, /files/ENCFF631QLR/, /files/ENCFF810VRK/	595708	ENCODE Processing Pipeline	dd00f539476368f1a08d3a5ced5dfa0d		https://www.encodeproject.org/files/ENCFF951GOP/@@download/ENCFF951GOP.bed.gz				released	s3://encode-public/2020/10/14/c7edafbb-1d83-40b1-9232-ee368ce3df6b/ENCFF951GOP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/14/c7edafbb-1d83-40b1-9232-ee368ce3df6b/ENCFF951GOP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read length, mild to moderate bottlenecking, mixed read lengths, control low read depth	insufficient read length, insufficient read depth	
ENCFF150ITM	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CBI	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000948	heart	tissue	Mus musculus										CTCF-mouse	DNA						2011-07-22	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF951GOP/	1080746	ENCODE Processing Pipeline	525475ef5565db4490189acfa958d73d		https://www.encodeproject.org/files/ENCFF150ITM/@@download/ENCFF150ITM.bigBed				released	s3://encode-public/2020/10/14/9456a357-bef2-41ee-9174-5c27b607933b/ENCFF150ITM.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/10/14/9456a357-bef2-41ee-9174-5c27b607933b/ENCFF150ITM.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read length, mild to moderate bottlenecking, mixed read lengths, control low read depth	insufficient read length, insufficient read depth	
ENCFF147IYR	bigWig	bigWig		signal p-value	mm10	ENCSR000CBI	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000948	heart	tissue	Mus musculus										CTCF-mouse	DNA						2011-07-22	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF026TPH/, /files/ENCFF925TYC/, /files/ENCFF631QLR/, /files/ENCFF810VRK/	340811812	ENCODE Processing Pipeline	dff9b3535ab21bcedd802d72231584c9		https://www.encodeproject.org/files/ENCFF147IYR/@@download/ENCFF147IYR.bigWig				released	s3://encode-public/2020/10/14/0459c4cd-63ac-4a34-82fd-fda27165f7c3/ENCFF147IYR.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/10/14/0459c4cd-63ac-4a34-82fd-fda27165f7c3/ENCFF147IYR.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read length, mild to moderate bottlenecking, mixed read lengths, control low read depth	insufficient read length, insufficient read depth	
ENCFF421PAU	bigWig	bigWig		signal p-value	mm10	ENCSR000CEH	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000955	brain	tissue	Mus musculus										CTCF-mouse	DNA						2012-04-13	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF376ZBK/, /files/ENCFF503WQS/, /files/ENCFF710ERW/, /files/ENCFF579OOL/	390582099	ENCODE Processing Pipeline	64fcea8bfb163901736ecf857e9957f9		https://www.encodeproject.org/files/ENCFF421PAU/@@download/ENCFF421PAU.bigWig				released	s3://encode-public/2020/10/13/c2488a2f-f77e-47d0-9d62-2d30866e6cba/ENCFF421PAU.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/c2488a2f-f77e-47d0-9d62-2d30866e6cba/ENCFF421PAU.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	mild to moderate bottlenecking, moderate library complexity, inconsistent platforms, borderline replicate concordance	insufficient read length, insufficient read depth	extremely low read depth
ENCFF281QMV	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CEH	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000955	brain	tissue	Mus musculus										CTCF-mouse	DNA						2012-04-13	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF547MET/, /files/ENCFF376ZBK/, /files/ENCFF579OOL/, /files/ENCFF710ERW/, /files/ENCFF503WQS/	679892	ENCODE Processing Pipeline	97e99f5646f98b72fc7f3ea30d76f9e4		https://www.encodeproject.org/files/ENCFF281QMV/@@download/ENCFF281QMV.bed.gz				released	s3://encode-public/2020/10/13/998b1978-457a-422e-a06d-fd790f9783fa/ENCFF281QMV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/998b1978-457a-422e-a06d-fd790f9783fa/ENCFF281QMV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	mild to moderate bottlenecking, moderate library complexity, inconsistent platforms, borderline replicate concordance	insufficient read length, insufficient read depth	extremely low read depth
ENCFF950QPK	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CEH	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000955	brain	tissue	Mus musculus										CTCF-mouse	DNA						2012-04-13	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF281QMV/	1264185	ENCODE Processing Pipeline	f55828284d009f5adc3c2c8bd9e7db38		https://www.encodeproject.org/files/ENCFF950QPK/@@download/ENCFF950QPK.bigBed				released	s3://encode-public/2020/10/13/4ae56980-cf99-4edb-a952-3bd6e5237f0a/ENCFF950QPK.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/4ae56980-cf99-4edb-a952-3bd6e5237f0a/ENCFF950QPK.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	mild to moderate bottlenecking, moderate library complexity, inconsistent platforms, borderline replicate concordance	insufficient read length, insufficient read depth	extremely low read depth
ENCFF244FHP	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CEF	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000473	testis	tissue	Mus musculus										CTCF-mouse	DNA						2012-04-13	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF033UQX/	753900	ENCODE Processing Pipeline	e61a91a5f4acc60769bd1dad601bfa5a		https://www.encodeproject.org/files/ENCFF244FHP/@@download/ENCFF244FHP.bigBed				released	s3://encode-public/2020/10/13/5b4c9b5c-886d-4eb2-98a7-85977bf3445e/ENCFF244FHP.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/5b4c9b5c-886d-4eb2-98a7-85977bf3445e/ENCFF244FHP.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read depth, moderate library complexity, low read length, inconsistent platforms, mild to moderate bottlenecking	insufficient replicate concordance, insufficient read depth, control insufficient read depth	
ENCFF816VSP	bigWig	bigWig		signal p-value	mm10	ENCSR000CEF	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000473	testis	tissue	Mus musculus										CTCF-mouse	DNA						2012-04-13	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF338TNB/, /files/ENCFF703HEZ/, /files/ENCFF632RBW/, /files/ENCFF782OUC/	319558412	ENCODE Processing Pipeline	676f04e7675bd630e29e6314fe113f07		https://www.encodeproject.org/files/ENCFF816VSP/@@download/ENCFF816VSP.bigWig				released	s3://encode-public/2020/10/13/f8ac5470-6bd3-4a99-a6af-9cf467cf933f/ENCFF816VSP.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/f8ac5470-6bd3-4a99-a6af-9cf467cf933f/ENCFF816VSP.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read depth, moderate library complexity, low read length, inconsistent platforms, mild to moderate bottlenecking	insufficient replicate concordance, insufficient read depth, control insufficient read depth	
ENCFF033UQX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CEF	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000473	testis	tissue	Mus musculus										CTCF-mouse	DNA						2012-04-13	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF338TNB/, /files/ENCFF632RBW/, /files/ENCFF547MET/, /files/ENCFF782OUC/, /files/ENCFF703HEZ/	404860	ENCODE Processing Pipeline	0d1cfffbef19691445469b0c9f0b8dbb		https://www.encodeproject.org/files/ENCFF033UQX/@@download/ENCFF033UQX.bed.gz				released	s3://encode-public/2020/10/13/a681513d-c458-4a31-b6c3-fb73b811d14b/ENCFF033UQX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/a681513d-c458-4a31-b6c3-fb73b811d14b/ENCFF033UQX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read depth, moderate library complexity, low read length, inconsistent platforms, mild to moderate bottlenecking	insufficient replicate concordance, insufficient read depth, control insufficient read depth	
ENCFF206SRW	bigBed narrowPeak	bigBed	narrowPeak	conservative IDR thresholded peaks	mm10	ENCSR000DIU	TF ChIP-seq	/mouse-donors/ENCDO324YEK/	EFO:0005233	CH12.LX	cell line	Mus musculus										CTCF-mouse	DNA						2012-02-13	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF504JDS/	796329	ENCODE Processing Pipeline	32f2490e4b7e36a965cce3f0aff3bb94		https://www.encodeproject.org/files/ENCFF206SRW/@@download/ENCFF206SRW.bigBed				released	s3://encode-public/2020/10/13/506580a9-80b8-4ed6-8ffb-69c5eb16dbfa/ENCFF206SRW.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/506580a9-80b8-4ed6-8ffb-69c5eb16dbfa/ENCFF206SRW.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read depth, low read length, inconsistent platforms		
ENCFF909UFR	bigWig	bigWig		signal p-value	mm10	ENCSR000DIU	TF ChIP-seq	/mouse-donors/ENCDO324YEK/	EFO:0005233	CH12.LX	cell line	Mus musculus										CTCF-mouse	DNA						2012-02-13	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF071WTG/, /files/ENCFF539HQV/, /files/ENCFF602IEI/, /files/ENCFF405NYO/	912670911	ENCODE Processing Pipeline	f065edc108d1ad21ab5dc89f75c1c5f6		https://www.encodeproject.org/files/ENCFF909UFR/@@download/ENCFF909UFR.bigWig				released	s3://encode-public/2020/10/13/6ce5a296-f766-4085-9db8-38ff8dd83d55/ENCFF909UFR.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/6ce5a296-f766-4085-9db8-38ff8dd83d55/ENCFF909UFR.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read depth, low read length, inconsistent platforms		
ENCFF504JDS	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	mm10	ENCSR000DIU	TF ChIP-seq	/mouse-donors/ENCDO324YEK/	EFO:0005233	CH12.LX	cell line	Mus musculus										CTCF-mouse	DNA						2012-02-13	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF602IEI/, /files/ENCFF071WTG/, /files/ENCFF547MET/, /files/ENCFF539HQV/, /files/ENCFF405NYO/	452076	ENCODE Processing Pipeline	b93aa8ba6b1f6c346a9da0f8c8d79d1d		https://www.encodeproject.org/files/ENCFF504JDS/@@download/ENCFF504JDS.bed.gz				released	s3://encode-public/2020/10/13/f8b01c59-62a7-413c-ad72-67fa2142094c/ENCFF504JDS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/f8b01c59-62a7-413c-ad72-67fa2142094c/ENCFF504JDS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read depth, low read length, inconsistent platforms		
ENCFF570NCX	bigWig	bigWig		signal p-value	mm10	ENCSR000DIS	TF ChIP-seq	/mouse-donors/ENCDO089AAA/	EFO:0002034	G1E	cell line	Mus musculus										CTCF-mouse	DNA						2012-02-13	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF507UWC/, /files/ENCFF412UAC/, /files/ENCFF261AWJ/, /files/ENCFF443XJP/	1088159585	ENCODE Processing Pipeline	9badbb0042263848d5a2e54809fc6741		https://www.encodeproject.org/files/ENCFF570NCX/@@download/ENCFF570NCX.bigWig				released	s3://encode-public/2020/10/13/204820b8-2333-42f1-94bc-20a0206a5cac/ENCFF570NCX.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/204820b8-2333-42f1-94bc-20a0206a5cac/ENCFF570NCX.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read depth, mixed read lengths, low read length, inconsistent platforms		
ENCFF601JVE	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000DIS	TF ChIP-seq	/mouse-donors/ENCDO089AAA/	EFO:0002034	G1E	cell line	Mus musculus										CTCF-mouse	DNA						2012-02-13	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF507UWC/, /files/ENCFF412UAC/, /files/ENCFF443XJP/, /files/ENCFF547MET/, /files/ENCFF261AWJ/	270466	ENCODE Processing Pipeline	ab2972389f0432ee0385f451f3f087cd		https://www.encodeproject.org/files/ENCFF601JVE/@@download/ENCFF601JVE.bed.gz				released	s3://encode-public/2020/10/13/312525e7-140f-4b8e-8524-4fe58c291187/ENCFF601JVE.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/312525e7-140f-4b8e-8524-4fe58c291187/ENCFF601JVE.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read depth, mixed read lengths, low read length, inconsistent platforms		
ENCFF845GTG	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000DIS	TF ChIP-seq	/mouse-donors/ENCDO089AAA/	EFO:0002034	G1E	cell line	Mus musculus										CTCF-mouse	DNA						2012-02-13	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF601JVE/	530269	ENCODE Processing Pipeline	b290e11a17c4efc5532b27a69c266677		https://www.encodeproject.org/files/ENCFF845GTG/@@download/ENCFF845GTG.bigBed				released	s3://encode-public/2020/10/13/dccc43ef-8a2b-4738-ac40-97dac8ca1e34/ENCFF845GTG.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/dccc43ef-8a2b-4738-ac40-97dac8ca1e34/ENCFF845GTG.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read depth, mixed read lengths, low read length, inconsistent platforms		
ENCFF545XBU	bigWig	bigWig		signal p-value	mm10	ENCSR000CFJ	TF ChIP-seq	/mouse-donors/ENCDO081AAA/	CL:0002476	bone marrow macrophage	primary cell	Mus musculus										CTCF-mouse	DNA						2012-04-13	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF745XGW/, /files/ENCFF024RNW/, /files/ENCFF572GJV/, /files/ENCFF622UVN/	470274299	ENCODE Processing Pipeline	4075815eb3c48717663205fcea12467b		https://www.encodeproject.org/files/ENCFF545XBU/@@download/ENCFF545XBU.bigWig				released	s3://encode-public/2020/10/13/4461e325-6d43-47d1-bdc4-1f872e01b5ee/ENCFF545XBU.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/4461e325-6d43-47d1-bdc4-1f872e01b5ee/ENCFF545XBU.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	moderate library complexity, low read length, mild to moderate bottlenecking, low read depth		
ENCFF805QBU	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CFJ	TF ChIP-seq	/mouse-donors/ENCDO081AAA/	CL:0002476	bone marrow macrophage	primary cell	Mus musculus										CTCF-mouse	DNA						2012-04-13	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF572GJV/, /files/ENCFF622UVN/, /files/ENCFF745XGW/, /files/ENCFF024RNW/, /files/ENCFF547MET/	357100	ENCODE Processing Pipeline	d2bc806c20da3458fb5b1e044620e6a0		https://www.encodeproject.org/files/ENCFF805QBU/@@download/ENCFF805QBU.bed.gz				released	s3://encode-public/2020/10/13/a3cc7f17-5b65-4f3a-95d4-c74da3cb2cd7/ENCFF805QBU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/a3cc7f17-5b65-4f3a-95d4-c74da3cb2cd7/ENCFF805QBU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	moderate library complexity, low read length, mild to moderate bottlenecking, low read depth		
ENCFF934CZI	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CFJ	TF ChIP-seq	/mouse-donors/ENCDO081AAA/	CL:0002476	bone marrow macrophage	primary cell	Mus musculus										CTCF-mouse	DNA						2012-04-13	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF805QBU/	615135	ENCODE Processing Pipeline	7267bc31b9a0d347aca2e5a9eabb25ee		https://www.encodeproject.org/files/ENCFF934CZI/@@download/ENCFF934CZI.bigBed				released	s3://encode-public/2020/10/13/d164b9cc-9b52-417d-8b67-10f275033ae8/ENCFF934CZI.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/d164b9cc-9b52-417d-8b67-10f275033ae8/ENCFF934CZI.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	moderate library complexity, low read length, mild to moderate bottlenecking, low read depth		
ENCFF930UYO	bigWig	bigWig		signal p-value	mm10	ENCSR000CFH	TF ChIP-seq	/mouse-donors/ENCDO073AAA/	EFO:0003971	MEL	cell line	Mus musculus										CTCF-mouse	DNA						2012-04-13	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF065TFN/, /files/ENCFF792BAU/, /files/ENCFF044XJZ/, /files/ENCFF824AQL/	275582213	ENCODE Processing Pipeline	013b9669247f49a45a0edf82b0a63c8b		https://www.encodeproject.org/files/ENCFF930UYO/@@download/ENCFF930UYO.bigWig				released	s3://encode-public/2020/10/13/c290c6d5-24d1-4f8f-aaae-96289a55aaaa/ENCFF930UYO.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/c290c6d5-24d1-4f8f-aaae-96289a55aaaa/ENCFF930UYO.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	mild to moderate bottlenecking, low read length	poor library complexity, severe bottlenecking, insufficient read depth, control insufficient read depth	
ENCFF142CNG	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CFH	TF ChIP-seq	/mouse-donors/ENCDO073AAA/	EFO:0003971	MEL	cell line	Mus musculus										CTCF-mouse	DNA						2012-04-13	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF065TFN/, /files/ENCFF824AQL/, /files/ENCFF792BAU/, /files/ENCFF044XJZ/, /files/ENCFF547MET/	583779	ENCODE Processing Pipeline	b90c3a016176bf997be1bfa908702d17		https://www.encodeproject.org/files/ENCFF142CNG/@@download/ENCFF142CNG.bed.gz				released	s3://encode-public/2020/10/13/b7e0fe67-bd82-44bb-9d7f-514b3acf3371/ENCFF142CNG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/b7e0fe67-bd82-44bb-9d7f-514b3acf3371/ENCFF142CNG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	mild to moderate bottlenecking, low read length	poor library complexity, severe bottlenecking, insufficient read depth, control insufficient read depth	
ENCFF461OXH	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CFH	TF ChIP-seq	/mouse-donors/ENCDO073AAA/	EFO:0003971	MEL	cell line	Mus musculus										CTCF-mouse	DNA						2012-04-13	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF142CNG/	1106948	ENCODE Processing Pipeline	91414125a394b3e434e9e3edfa8c286c		https://www.encodeproject.org/files/ENCFF461OXH/@@download/ENCFF461OXH.bigBed				released	s3://encode-public/2020/10/13/8cfe7b5a-2857-46b7-a100-6442cb0cce87/ENCFF461OXH.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/8cfe7b5a-2857-46b7-a100-6442cb0cce87/ENCFF461OXH.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	mild to moderate bottlenecking, low read length	poor library complexity, severe bottlenecking, insufficient read depth, control insufficient read depth	
ENCFF326GPG	bigWig	bigWig		signal p-value	mm10	ENCSR000CBW	TF ChIP-seq	/mouse-donors/ENCDO072AAA/	CL:2000042	embryonic fibroblast	primary cell	Mus musculus										CTCF-mouse	DNA						2011-07-22	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF418EIF/, /files/ENCFF906TCX/, /files/ENCFF996SAH/, /files/ENCFF468MFJ/	496793792	ENCODE Processing Pipeline	dcbf84f2b171a247bf01e230095ce697		https://www.encodeproject.org/files/ENCFF326GPG/@@download/ENCFF326GPG.bigWig				released	s3://encode-public/2020/10/14/3580444d-2d9e-4a15-972e-ed8874454f9b/ENCFF326GPG.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/10/14/3580444d-2d9e-4a15-972e-ed8874454f9b/ENCFF326GPG.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read length, moderate library complexity, mild to moderate bottlenecking, control low read depth, borderline replicate concordance	insufficient read depth	
